placebo_id,pop_share_grp1,boundary_len_m,obj_on,obj_off,bound_on,bound_off,status_on,status_off,cost
147,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
148,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
149,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
150,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
151,0.3587516787972634,124551.73928401248,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
152,0.3587516787972634,124551.73928401248,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
153,0.2560795571407349,174139.0769594517,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
154,0.2560795571407349,174139.0769594517,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
155,0.2682428050024839,169387.7327759533,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
156,0.256072292060244,156804.5835693587,0.34933398280069716,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0646725193455564
157,0.4381898225241044,120116.84156632642,0.2805744460397206,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,-0.004087017415420169
158,0.3307783631873862,143144.55071303516,0.3345529931703986,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.04989152971525784
159,0.259180994950268,141505.65951779523,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
160,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
161,0.3307783631873862,143144.55071303516,0.3345529931703986,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.04989152971525784
162,0.4520453331001827,152709.4460656729,0.29391180404198547,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.009250340586844708
163,0.4226450554738999,173011.20233401874,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
164,0.3392880271222991,169919.88342882734,0.35786854706182936,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0732070836066886
165,0.4381898225241044,120116.84156632642,0.2805744460397206,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,-0.004087017415420169
166,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
167,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
168,0.345438794577845,111397.67103538816,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
169,0.3988697037876372,158956.0282437983,0.3622730964850499,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07761163302990914
170,0.3243134436306162,132572.3167318075,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
171,0.3067637648849599,145959.1967686277,0.2905898579055149,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.00592839445037413
172,0.3650399817421011,141292.4041286659,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
173,0.2895983838452668,117380.0592923262,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
174,0.2867762758546052,145479.35441057754,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
175,0.3283723689448372,126091.12256122912,0.29175887701745795,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.00709741356231719
176,0.3515174122685163,154301.53503994862,0.35740585739623354,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07274439394109278
177,0.345438794577845,111397.67103538816,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
178,0.3010205934969513,157415.05090640992,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
179,0.3515174122685163,154301.53503994862,0.35740585739623354,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07274439394109278
180,0.4381898225241044,120116.84156632642,0.2805744460397206,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,-0.004087017415420169
181,0.2867762758546052,145479.35441057754,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
182,0.2918510598374576,146213.43053076274,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
183,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
184,0.2895983838452668,117380.0592923262,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
185,0.2560795571407349,174139.0769594517,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
186,0.4381898225241044,120116.84156632642,0.2805744460397206,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,-0.004087017415420169
187,0.3311944769354988,107644.12619596029,0.3541351952853365,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.06947373183019573
188,0.2986105909341315,156238.20338363008,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
189,0.3010205934969513,157415.05090640992,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
190,0.256072292060244,156804.5835693587,0.34933398280069716,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0646725193455564
191,0.3243134436306162,132572.3167318075,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
192,0.3243134436306162,132572.3167318075,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
193,0.3378034455020007,143417.71672110833,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
194,0.256072292060244,156804.5835693587,0.34933398280069716,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0646725193455564
195,0.3307783631873862,143144.55071303516,0.3345529931703986,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.04989152971525784
196,0.3513883944597999,116578.45350400076,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
197,0.3925971836038657,152661.63800179493,0.3567820366006278,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07212057314548703
198,0.256072292060244,156804.5835693587,0.34933398280069716,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0646725193455564
199,0.256072292060244,156804.5835693587,0.34933398280069716,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0646725193455564
