i,j
25201313002,25201313003
25201313002,25201313004
25201313002,252013180
25201313003,25201313004
25201313003,25201316001
25201313003,25201316002
25201313004,25201313005
25201313004,25201316001
25201313004,252013200
25201313004,25201399004
25201313005,25201316001
25201313005,25201399001
25201313005,25201399002
25201313005,25201399003
25201316001,25201316002
25201316001,25201399003
25201316002,25201399002
25201316002,25201399003
252013190,252013370
252013200,25201322006
252013200,25201322007
252013200,25201327005
252013200,25206044207
25201322001,25201322002
25201322001,25201322003
25201322001,25201327001
25201322001,25201327002
25201322002,25201322003
25201322002,25201322004
25201322003,25201322004
25201322003,25201322005
25201322003,25201327002
25201322003,25201327003
25201322004,25201322005
25201322005,25201322006
25201322005,25201322007
25201322005,25201327003
25201322005,25201327005
25201322006,25201322007
25201322006,25201327005
25201327001,25201327002
